word,bri,pos,eje
a,ca,posp,
"a cada rato, hace un rato",ebashí,adv,
a causa de,crá’ ta,fr posp,
a la manera de,dójcre,posp,
a medio cocinar,bujgué,adj,
a medio hacer,chichó’,adv,
a pie,crá tá,loc adv,
"a prisa, rápidamente",yéne,adv,
a través de,crá’ ta,fr posp,
abajo,naníshca,adv,
abalorio,shuyrá,sust,
abandonar,ájt,verbo,
abertura en los dedos de los pies,stit,sust,
abierto,cajcshí,adj,
abierto,ture’shí,adj,
abismo,diáshí,sust,
abogado,yodiíj,sust,
abrazar,ba’c,verbo,
abrigar,run’,verbo,
abrigo,é’ua cri’é,sust,
abrir,cajc,verbo,
abrir las piernas,crastac,verbo,
abuela,só’,sust,
abuelo,xasúj,sust,
aburrido,satcá,adj,
aburrirse,sat,verbo,
acaparar,crán’té’,verbo,
acaso,ori an’cá,adv,
acechado,huatení,adj,
acechar,huadá,verbo,
acechar,huatén’,verbo,
aceite,bú’,sust,
"acercándose hacia arriba (segundo plano), hacia acá",huájt,adv,
achiote,cric,sust,
ácido,duncá,adj,
ácido,dunón’,adj,
acomodar,é’,verbo,
acompañar,yá’bra,verbo,
aconsejar,tecshún’ (ca),verbo,
acordarse,chíc quí dójc,verbo,
acordarse,chíc qui tón’,verbo,
acordeón,crú’s,sust,
acostado,uní,adj,
acostarse,un’,verbo,
acostarse,yá’ ún’,verbo,
acostarse boca arriba,yá’ huaraún’,verbo,
acostarse de lado,yá’ chén’ un’,verbo,
acuclillarse,tuj,verbo,
acuerdo,o’guá,sust,
acumulación,shóncra,sust,
acumulación,shonícra,sust,
acumulado,shoní,adj,
adelantar,huájc,verbo,
adentro,ú chi cájc ta,loc adv,
adivinar,dójc,verbo,
admirar,cón’,verbo,
admirarse (de),huaxát (ca),verbo,
adónde,yaí,adv,
adorar,yasuc,verbo,
adormecido,xeát,adj,
adulto,soré’ca,sust,
afilado,ejtcá,adj,
afilar,cayá’,verbo,
afuera,rájxi,adv,
agachado,bucté’shi,adj,
agachado,cubus cubus,adj,
agachado,isbijcshí,adj,
agachado,shuajcá,adj,
agachado,shuajcbú’,adj,
"agachado de nalgas (flexión del tronco hacia los pies, manteniendo las piernas estirada, abiertas)",ijxiát,adv,
agacharse,isbíjc,verbo,
agacharse,shuajc,verbo,
agalla,shó’t,sust,
agarrar,crújc,verbo,
agriarse,duné’,verbo,
agricultor,te’í,sust,
agrio,duncá,adj,
agrio,dunón’,adj,
agua,dí’,sust,
aguacate,bu,sust,
aguantar,ajgó,verbo,
aguijón,drú’,sust,
águila,sú,sust,
aguja,cua’tún’,sust,
ahijada,dí’ te’uá,sust,
ahijado,dí’ te’uá,sust,
ahogado,chéjcá,adj,
"ahogar, ahogarse",chéjc,verbo,
ahogarse,chéjc,verbo,
ahumar,yícúp,verbo,
aire,shum,sust,
al otro lado,duáj ta,loc adv,
al otro lado de,duajguí,adv,
al parecer,ishcumú’,adv,
al revés,chen’uní,adv,
ala,cá,sust,
ala de pollo,cro cá,sust,
alacrán,qui’,sust,
alarmante,con’é,adj,
albahaca,xít quibíc,sust,
alcanzar,crújc,verbo,
alcanzar,cut,verbo,
aleta de pez,un’ yuré’,sust,
algodón,chubú,sust,
algún día,tén’,adv,
alisado,ro’pcá,adj,
allí (señalando un sitio que está a la vista del hablante),ye’é,adv,
allí (señalando un sitio que no está a la vista del hablante),yá ta,loc adv,
alma,huic,sust,
almacenado,brá’ca,adj,
almacenamiento,brá’uá,sust,
almacenar,brá’,verbo,
almizcle,xú’t,sust,
almohada,sadruné’,sust,
alondra,chontes,sust,
alrededor,shicujdé,posp,
altercado,yó chá,sust,
alto,ájt,adj,
alto,ajxí,adj,
"alto, elevado",ájtca,adj,
alumbrar,datshí’,verbo,
alumbrar,ro’,verbo,
